cluster,label,size,top_keywords,top_titles
57,Unsupervised Learning / Representation Learning / Deep learning / Computer vision / Developments,85795,"Unsupervised Learning, Representation Learning, Deep learning, Computer vision, Developments","Deep Learning for Visual Understanding: A Review. || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Ivs-Net: Learning Human View Synthesis from Internet Videos || The ""something Something"" Video Database for Learning and Evaluating Visual Common Sense. || DINOv2: Learning Robust Visual Features Without Supervision"
38,Feature extraction / Object detection / Remote sensing / Accuracy / Semantics,34877,"Feature extraction, Object detection, Remote sensing, Accuracy, Semantics",ResDNet: Efficient Dense Multi-Scale Representations with Residual Learning for High-Level Vision Tasks || Boundary-Aware Feature Fusion with Dual-Stream Attention for Remote Sensing Small Object Detection || VIF-Net: an Unsupervised Framework for Infrared and Visible Image Fusion || 2C-Net: Integrate Image Compression and Classification Via Deep Neural Network. || InfraFFN: A Feature Fusion Network Leveraging Dual-Path Convolution and Self-Attention for Infrared Image Super-Resolution
41,NOMA / nonorthogonal multiple access (NOMA) / Resource management / Cognitive radio (CR) / Internet of Things,34675,"NOMA, nonorthogonal multiple access (NOMA), Resource management, Cognitive radio (CR), Internet of Things","Multiple Access Techniques for Intelligent and Multi-Functional 6G: Tutorial, Survey, and Outlook || Efficient Rate-Splitting Multiple Access for the Internet of Vehicles: Federated Edge Learning and Latency Minimization. || Joint Resource Allocation and Configuration Design for STAR-RIS-Enhanced Wireless-Powered MEC. || Multi-objective Uplink Data Transmission Optimization for Edge Computing in UAV-assistant Mobile Wireless Sensor Networks || Scalable and Reliable IoT Enabled by Dynamic Spectrum Management for M2M in LTE-A"
51,network embedding / representation learning / network representation learning / benchmark / hyperparameter tuning,30990,"network embedding, representation learning, network representation learning, benchmark, hyperparameter tuning",Fair Benchmark for Unsupervised Node Representation Learning || Grain: Improving Data Efficiency of Graph Neural Networks Via Diversified Influence Maximization || PartNRL: Partial Nodes Representation Learning in Large-Scale Network. || Learning on Attribute-Missing Graphs. || Graph Unlearning.
32,Interference / Satellites / wireless information and power transfer / Array signal processing / Security,24368,"Interference, Satellites, wireless information and power transfer, Array signal processing, Security",Robust Secure Beamforming for Wireless Powered Cognitive Satellite-Terrestrial Networks. || Secure Beamforming for Cognitive Satellite Terrestrial Networks with Unknown Eavesdroppers. || Energy Efficiency Optimization in Massive MIMO Secure Multicast Transmission. || Optimized Unsourced Random Access Schemes with Sparse-Correction-Based Approximate Message Passing for Massive MIMO Systems || Beamforming for Secure Wireless Information and Power Transfer in Terrestrial Networks Coexisting with Satellite Networks
26,Topic Modeling / Language Modeling / Syntax-based Translation Models / Interpretable Models / Machine Translation,18231,"Topic Modeling, Language Modeling, Syntax-based Translation Models, Interpretable Models, Machine Translation","Augmenting Interpretable Models with Large Language Models During Training || Selective Annotation Makes Language Models Better Few-Shot Learners. || Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Sentence Encoders on STILTs: Supplementary Training on Intermediate Labeled-data Tasks. || Conciseness: an Overlooked Language Task"
30,Transfer Learning / Artificial intelligence / Computational Paralinguistics / Speech under Mask / Deep Learning,15139,"Transfer Learning, Artificial intelligence, Computational Paralinguistics, Speech under Mask, Deep Learning",Learning Higher Representations from Pre-Trained Deep Models with Data Augmentation for the COMPARE 2020 Challenge Mask Task || KGA: A General Machine Unlearning Framework Based on Knowledge Gap Alignment. || Sequential Modeling Enables Scalable Learning for Large Vision Models || A Survey: Collaborative Hardware and Software Design in the Era of Large Language Models || Efficient AI in Practice: Training and Deployment of Efficient LLMs for Industry Applications
22,Lesions / Image segmentation / Deep learning / Medical image segmentation / segmentation,13407,"Lesions, Image segmentation, Deep learning, Medical image segmentation, segmentation",RECIST-Induced Reliable Learning: Geometry-Driven Label Propagation for Universal Lesion Segmentation. || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || SBC-UNet: A Network Based on Improved Hourglass Attention Mechanism and U-Net for Medical Image Segmentation. || Medical Image Data and Datasets in the Era of Machine Learning - Whitepaper from the 2016 C-MIMI Meeting Dataset Session. || A Feature Fusion Module Based on Complementary Attention for Medical Image Segmentation
33,Encryption / Cloud computing / Protocols / Edge computing / Multi-key FHE,13275,"Encryption, Cloud computing, Protocols, Edge computing, Multi-key FHE","Privacy-preserving and Verifiable Classifier Training in Edge-Assisted Mobile Communication Systems || Security and Privacy in Cloud-Assisted Wireless Wearable Communications: Challenges, Solutions, and Future Directions || Practical Secure Aggregation for Privacy-Preserving Machine Learning || Generalized Pseudorandom Secret Sharing and Efficient Straggler-Resilient Secure Computation. || Expressive Bilateral Access Control for Internet-of-Things in Cloud-Fog Computing."
60,Deep Learning / Meta-Learning / Representation Learning / Incremental learning / Representation learning,12814,"Deep Learning, Meta-Learning, Representation Learning, Incremental learning, Representation learning","Deep Representation Learning: Fundamentals, Technologies, Applications, and Open Challenges || Avalanche: an End-to-End Library for Continual Learning. || CORe50: a New Dataset and Benchmark for Continuous Object Recognition. || Explainable Artificial Intelligence (XAI) for Methods Working on Point Cloud Data: A Survey || NUMA-Caffe: NUMA-Aware Deep Learning Neural Networks"
8,Deep Learning / Transfer Learning / Internet of Medical Things / Fog Computing / Data Heterogeneity,12230,"Deep Learning, Transfer Learning, Internet of Medical Things, Fog Computing, Data Heterogeneity","MIC-Net: A Deep Network for Cross-Site Segmentation of COVID-19 Infection in the Fog-Assisted IoMT || Self-supervised Remote Sensing Feature Learning: Learning Paradigms, Challenges, and Future Works || Deep Learning for Fixed Model Reuse. || Object Detection and Classification: a Joint Selection and Fusion Strategy of Deep Convolutional Neural Network and SIFT Point Features || Learning Higher Representations from Pre-Trained Deep Models with Data Augmentation for the COMPARE 2020 Challenge Mask Task"
58,Representation Learning / Semi-Supervised Learning / Unsupervised Learning / Transfer Learning / Vision backbone,12138,"Representation Learning, Semi-Supervised Learning, Unsupervised Learning, Transfer Learning, Vision backbone",Inception MLP: A Vision MLP Backbone for Multi-scale Feature Extraction || Large-Scale Heterogeneous Feature Embedding || Deep Random Walk of Unitary Invariance for Large-Scale Data Representation. || Bootstrap Your Own Latent - A New Approach to Self-Supervised Learning. || Learning Gradient Descent: Better Generalization and Longer Horizons
70,Heuristic algorithms / Federated learning / Observers / Cyber-Physical Systems / security,11964,"Heuristic algorithms, Federated learning, Observers, Cyber-Physical Systems, security",Adaptive Control for Security and Resilience of Networked Cyber-Physical Systems: Where Are We? || Decentralized Event-Triggered Online Adaptive Control of Unknown Large-Scale Systems over Wireless Communication Networks. || Communication-Efficient Soft Actor-Critic Policy Collaboration Via Regulated Segment Mixture || Data-Efficient Off-Policy Learning for Distributed Optimal Tracking Control of HMAS with Unidentified Exosystem Dynamics || An Explainable Multi-Modal Model for Advanced Cyber-Attack Detection in Industrial Control Systems
14,Feature extraction / Object detection / Remote sensing / Detectors / Accuracy,11217,"Feature extraction, Object detection, Remote sensing, Detectors, Accuracy",Remote Sensing Scene Image Classification Based on Dense Fusion of Multi-level Features || Boundary-Aware Feature Fusion with Dual-Stream Attention for Remote Sensing Small Object Detection || On the Selective and Invariant Representation of DCNN for High-Resolution Remote Sensing Image Recognition. || Remote Sensing Object Detection Meets Deep Learning: A Meta-review of Challenges and Advances || BIHAF-Net: Bilateral Interactive Hierarchical Adaptive Fusion Network for Collaborative Classification of Hyperspectral and LiDAR Data
13,Federated learning / deep reinforcement learning / mobile edge computing / Security / vehicular edge computing,10815,"Federated learning, deep reinforcement learning, mobile edge computing, Security, vehicular edge computing",Multi-slot Secure Offloading and Resource Management in VEC Networks: A Deep Reinforcement Learning-Based Method || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || Edge-Native Intelligence for 6G Communications Driven by Federated Learning: A Survey of Trends and Challenges || Federated Learning Via Over-the-Air Computation || Optimal Access Scheme for Security Provisioning of C-V2X Computation Offloading Network with Imperfect CSI
56,Feature extraction / Visualization / Training / Computational modeling / Estimation,10714,"Feature extraction, Visualization, Training, Computational modeling, Estimation",Deep Learning for Fixed Model Reuse. || EfficientNet-EA for Visual Location Recognition in Natural Scenes || The Lottery Ticket Hypothesis for Object Recognition || Efficient Fire and Smoke Detection in Complex Environments Via Adaptive Spatial Feature Fusion and Dual Attention Mechanism || NeuOS: A Latency-Predictable Multi-Dimensional Optimization Framework for DNN-driven Autonomous Systems.
65,Task analysis / Servers / Optimization / Resource management / Quality of service,10365,"Task analysis, Servers, Optimization, Resource management, Quality of service",Adaptive Task Offloading in Vehicular Edge Computing Networks: a Reinforcement Learning Based Scheme || Distributed Computing and Networking Coordination for Task Offloading under Uncertainties || TC-PAA: Deep Learning-Enabled QoS Enhancement Scheme for Cooperative Internet of Vehicles || Trust Based Energy Efficient Data Collection with Unmanned Aerial Vehicle in Edge Network || Data-Driven Edge Offloading for Wireless Control Systems
80,reinforcement learning (RL) / Cyber-physical systems / multiagent systems (MASs) / Security / Adaptation models,9404,"reinforcement learning (RL), Cyber-physical systems, multiagent systems (MASs), Security, Adaptation models",Online Monitoring for Non-Stationary Operation Via a Collaborative Neural Network. || Multiagent Federated Reinforcement Learning for Secure Incentive Mechanism in Intelligent Cyber–Physical Systems || Online Learning of Minmax Solutions for Distributed Estimation and Tracking Control of Sensor Networks in Graphical Games || Data-Driven Reinforcement Learning Tracking of MASs under Injection Attack: A Controller-Dynamic-Linearization Approach || Reliable Control of Cyber-Physical Systems under Sensor and Actuator Attacks: an Identifier-Critic Based Integral Sliding-Mode Control Approach
66,deep reinforcement learning / Computational modeling / Servers / federated learning / Task analysis,9052,"deep reinforcement learning, Computational modeling, Servers, federated learning, Task analysis",Reinforcement-Learning- and Belief-Learning-Based Double Auction Mechanism for Edge Computing Resource Allocation || Joint Computation Offloading and Resource Allocation for Maritime MEC with Energy Harvesting || Multi-slot Secure Offloading and Resource Management in VEC Networks: A Deep Reinforcement Learning-Based Method || Energy-Efficient Federated Learning Through UAV Edge under Location Uncertainties || Digital Twin Enabled Task Offloading for IoVs: A Learning-Based Approach
