cluster,label,size,top_keywords,top_titles
38,Computational modeling / data mining / data privacy / deep learning / AI for mathematics (AI4Math),416502,"Computational modeling, data mining, data privacy, deep learning, AI for mathematics (AI4Math)","Deep Learning: Applications, Architectures, Models, Tools, and Frameworks: A Comprehensive Survey || Learning to Optimize: A Tutorial for Continuous and Mixed-Integer Optimization || Knowledge Guided Visual Transformers for Intelligent Transportation Systems || INVITED: Building Robust Machine Learning Systems: Current Progress, Research Challenges, and Opportunities || PyTorch Metric Learning."
37,Machine learning / Software engineering / Ubiquitous computing / Internet of vehicles / Ubiquitous learning,24954,"Machine learning, Software engineering, Ubiquitous computing, Internet of vehicles, Ubiquitous learning","Complex Data: Learning Trustworthily, Automatically, and with Guarantees || Ubiquitous Computation in Internet of Vehicles for Human-Centric Transport Systems || A Taxonomy of Software Engineering Challenges for Machine Learning Systems: an Empirical Investigation. || How to Conduct Rigorous Supervised Machine Learning in Information Systems Research: the Supervised Machine Learning Report Card || AutoAI: Automating the End-to-End AI Lifecycle with Humans-in-the-Loop"
9,Medical image segmentation / medical image segmentation / Vision Transformer / CNN / collaborative cross-fusion,21368,"Medical image segmentation, medical image segmentation, Vision Transformer, CNN, collaborative cross-fusion",CCFNet: Collaborative Cross-Fusion Network for Medical Image Segmentation || SBC-UNet: A Network Based on Improved Hourglass Attention Mechanism and U-Net for Medical Image Segmentation. || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || Multi-compound Transformer for Accurate Biomedical Image Segmentation || LM-Net: A Light-Weight and Multi-Scale Network for Medical Image Segmentation.
33,Topic Modeling / Language Modeling / Deep Learning / Representation Learning / Semi-Supervised Learning,18369,"Topic Modeling, Language Modeling, Deep Learning, Representation Learning, Semi-Supervised Learning","Model Reprogramming: Resource-Efficient Cross-Domain Machine Learning || UnIVAL: Unified Model for Image, Video, Audio and Language Tasks || A Survey: Collaborative Hardware and Software Design in the Era of Large Language Models || GLUECons: A Generic Benchmark for Learning under Constraints || Efficient AI in Practice: Training and Deployment of Efficient LLMs for Industry Applications"
30,Cybersecurity / Feature extraction / Industrial Internet of Things / electric vehicle charging infrastructure / tiny machine learning,17585,"Cybersecurity, Feature extraction, Industrial Internet of Things, electric vehicle charging infrastructure, tiny machine learning",Hybrid Optimization Algorithm for Detection of Security Attacks in IoT-Enabled Cyber-Physical Systems || Enhancing Adaptability and Efficiency of Task Offloading by Broad Learning in Industrial IoT || Efficient Data Uncertainty Management for Health Industrial Internet of Things Using Machine Learning. || Multi-information Based Cloud-Edge-end Collaborative Computational Tasks Offloading for Industrial IoT Systems || On TinyML and Cybersecurity: Electric Vehicle Charging Infrastructure Use Case
7,Machine learning / Partial Differential Equations / Partial differential equation / Physics-constrained machine learning / Low-rank decomposition,13656,"Machine learning, Partial Differential Equations, Partial differential equation, Physics-constrained machine learning, Low-rank decomposition",LordNet: an Efficient Neural Network for Learning to Solve Parametric Partial Differential Equations Without Simulated Data || The Deep Minimizing Movement Scheme. || Deep Learning of PDE Correction and Mesh Adaption Without Automatic Differentiation || Dynamic Gaussian Graph Operator: Learning Parametric Partial Differential Equations in Arbitrary Discrete Mechanics Problems || Overcoming the curse of dimensionality: Solving high-dimensional partial differential equations using deep learning.
22,Representation Learning / Unsupervised Learning / Robotics / deep learning / machine learning,13588,"Representation Learning, Unsupervised Learning, Robotics, deep learning, machine learning",The Limits and Potentials of Deep Learning for Robotics. || Unsupervised Reinforcement Learning of Transferable Meta-Skills for Embodied Navigation. || Pre-Trained Image Encoder for Generalizable Visual Reinforcement Learning. || CAZSL: Zero-Shot Regression for Pushing Models by Generalizing Through Context. || Visual Foresight: Model-Based Deep Reinforcement Learning for Vision-Based Robotic Control.
31,Topic Modeling / Machine Translation / Language Modeling / Neural Machine Translation / Syntax-based Translation Models,11758,"Topic Modeling, Machine Translation, Language Modeling, Neural Machine Translation, Syntax-based Translation Models","Augmenting Interpretable Models with Large Language Models During Training || Sentence Encoders on STILTs: Supplementary Training on Intermediate Labeled-data Tasks. || Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Conciseness: an Overlooked Language Task || Baichuan 2: Open Large-scale Language Models"
32,Language Modeling / Topic Modeling / Part-of-Speech Tagging / Neural Machine Translation / Multilingual Neural Machine Translation,11225,"Language Modeling, Topic Modeling, Part-of-Speech Tagging, Neural Machine Translation, Multilingual Neural Machine Translation",Large Language Models for Data Annotation and Synthesis: A Survey || Text Modular Networks: Learning to Decompose Tasks in the Language of Existing Models || SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || Mixture of Soft Prompts for Controllable Data Generation || GLUE-X: Evaluating Natural Language Understanding Models from an Out-of-distribution Generalization Perspective.
24,Automated Machine Learning / Meta-Learning / Robust Learning / Artificial intelligence / Deep learning,11081,"Automated Machine Learning, Meta-Learning, Robust Learning, Artificial intelligence, Deep learning",Automated Machine Learning: State-of-The-Art and Open Challenges || SmartML: A Meta Learning-Based Framework for Automated Selection and Hyperparameter Tuning for Machine Learning Algorithms || Metric Learning As a Service with Covariance Embedding || Smart Predictive Maintenance for High-Performance Computing Systems: a Literature Review || To Tune or Not to Tune? an Approach for Recommending Important Hyperparameters for Classification and Clustering Algorithms
28,Visual Question Answering / Semi-Supervised Learning / Representation Learning / Transfer Learning / Task analysis,9902,"Visual Question Answering, Semi-Supervised Learning, Representation Learning, Transfer Learning, Task analysis",Vision-Language Models for Vision Tasks: A Survey || DINOv2: Learning Robust Visual Features Without Supervision || Prismer: A Vision-Language Model with an Ensemble of Experts || Matcher: Segment Anything with One Shot Using All-Purpose Feature Matching. || Flamingo: a Visual Language Model for Few-Shot Learning
